2018-11-24 23:32:06,897	INFO	Cleaning Up, clearing pins
2018-11-24 23:32:33,861	INFO	Feeding for 3.0 seconds
2018-11-24 23:32:33,863	INFO	Starting Motor...
2018-11-24 23:32:33,865	INFO	Motor Started Successfully
2018-11-24 23:32:33,867	INFO	Starting PWM...
2018-11-24 23:32:33,870	INFO	PWM Started Successfully
2018-11-24 23:32:33,872	INFO	Feeding...
2018-11-24 23:32:36,877	INFO	Done Feeding
2018-11-24 23:32:36,879	INFO	Stopping PWM
2018-11-24 23:32:36,881	INFO	PWM Stopped
2018-11-24 23:32:36,883	INFO	Feed Completed Successfully
2018-11-24 23:32:36,885	INFO	Cleaning Up, clearing pins
2018-11-28 20:41:33,307	INFO	Feeding for 4.0 seconds
2018-11-28 20:41:33,309	INFO	Starting Motor...
2018-11-28 20:41:33,311	INFO	Motor Started Successfully
2018-11-28 20:41:33,312	INFO	Starting PWM...
2018-11-28 20:41:33,315	INFO	PWM Started Successfully
2018-11-28 20:41:33,316	INFO	Feeding...
2018-11-28 20:41:37,322	INFO	Done Feeding
2018-11-28 20:41:37,324	INFO	Stopping PWM
2018-11-28 20:41:37,326	INFO	PWM Stopped
2018-11-28 20:41:37,327	INFO	Feed Completed Successfully
2018-11-28 20:41:37,329	INFO	Cleaning Up, clearing pins
2018-11-29 22:32:16,217	INFO	Feeding for 2.0 seconds
2018-11-29 22:32:16,219	INFO	Starting Motor...
2018-11-29 22:32:16,221	INFO	Motor Started Successfully
2018-11-29 22:32:16,223	INFO	Starting PWM...
2018-11-29 22:32:16,225	INFO	PWM Started Successfully
2018-11-29 22:32:16,227	INFO	Feeding...
2018-11-29 22:32:18,231	INFO	Done Feeding
2018-11-29 22:32:18,232	INFO	Stopping PWM
2018-11-29 22:32:18,234	INFO	PWM Stopped
2018-11-29 22:32:18,236	INFO	Feed Completed Successfully
2018-11-29 22:32:18,238	INFO	Cleaning Up, clearing pins
2018-12-01 13:37:25,953	INFO	Feeding for 1.0 seconds
2018-12-01 13:37:25,955	INFO	Starting Motor...
2018-12-01 13:37:25,958	INFO	Motor Started Successfully
2018-12-01 13:37:25,960	INFO	Starting PWM...
2018-12-01 13:37:25,962	INFO	PWM Started Successfully
2018-12-01 13:37:25,964	INFO	Feeding...
2018-12-01 13:37:26,967	INFO	Done Feeding
2018-12-01 13:37:26,968	INFO	Stopping PWM
2018-12-01 13:37:26,969	INFO	PWM Stopped
2018-12-01 13:37:26,970	INFO	Feed Completed Successfully
2018-12-01 13:37:26,972	INFO	Cleaning Up, clearing pins
